   Time             Pg                Vg                Vr                Qg              
 1.000000000E-003  1.532148553E-003  1.936167834E+002  1.145334817E+002  4.079029846E-002 
 1.010000000E-003  1.615364969E-003  1.946623800E+002  1.156232197E+002  4.079029846E-002 
 1.020000000E-003  1.702234710E-003  1.957052099E+002  1.167113144E+002  4.079029846E-002 
 1.030000000E-003  1.792881010E-003  1.967452585E+002  1.177977504E+002  4.079029846E-002 
 1.040000000E-003  1.887430034E-003  1.977825109E+002  1.188825122E+002  4.079029846E-002 
 1.050000000E-003  1.986010917E-003  1.988169523E+002  1.199655845E+002  1.372139561E-001 
 1.060000000E-003  2.088755806E-003  1.998485682E+002  1.210469518E+002  1.372139561E-001 
 1.070000000E-003  2.195799899E-003  2.008773437E+002  1.221265987E+002  1.372139561E-001 
 1.080000000E-003  2.307281486E-003  2.019032643E+002  1.232045099E+002  1.372139561E-001 
 1.090000000E-003  2.423341994E-003  2.029263154E+002  1.242806701E+002  1.372139561E-001 
 1.100000000E-003  2.544126021E-003  2.039464825E+002  1.253550641E+002  1.372139561E-001 
 1.110000000E-003  2.669781386E-003  2.049637511E+002  1.264276764E+002  1.372139561E-001 
 1.120000000E-003  2.800459165E-003  2.059781067E+002  1.274984919E+002  1.372139561E-001 
 1.130000000E-003  2.936313733E-003  2.069895349E+002  1.285674954E+002  1.372139561E-001 
 1.140000000E-003  3.077502807E-003  2.079980213E+002  1.296346717E+002  1.372139561E-001 
 1.150000000E-003  3.224187490E-003  2.090035515E+002  1.307000056E+002  1.372139561E-001 
 1.160000000E-003  3.376532306E-003  2.100061114E+002  1.317634819E+002  1.372139561E-001 
 1.170000000E-003  3.534705252E-003  2.110056866E+002  1.328250856E+002  1.372139561E-001 
 1.180000000E-003  3.698877829E-003  2.120022630E+002  1.338848016E+002  1.372139561E-001 
 1.190000000E-003  3.869225094E-003  2.129958264E+002  1.349426147E+002  1.372139561E-001 
 1.200000000E-003  4.045925698E-003  2.139863626E+002  1.359985100E+002  1.372139561E-001 
 1.210000000E-003  4.229161925E-003  2.149738575E+002  1.370524725E+002  1.372139561E-001 
 1.220000000E-003  4.419119743E-003  2.159582973E+002  1.381044871E+002  1.372139561E-001 
 1.230000000E-003  4.615988839E-003  2.169396678E+002  1.391545390E+002  1.372139561E-001 
 1.240000000E-003  4.819962663E-003  2.179179551E+002  1.402026132E+002  1.372139561E-001 
 1.250000000E-003  5.031238476E-003  2.188931452E+002  1.412486948E+002  1.372139561E-001 
 1.260000000E-003  5.250017385E-003  2.198652245E+002  1.422927690E+002  1.372139561E-001 
 1.270000000E-003  5.476504391E-003  2.208341790E+002  1.433348208E+002  1.372139561E-001 
 1.280000000E-003  5.710908432E-003  2.217999949E+002  1.443748356E+002  1.372139561E-001 
 1.290000000E-003  5.953442423E-003  2.227626585E+002  1.454127984E+002  1.372139561E-001 
 1.300000000E-003  6.204323299E-003  2.237221562E+002  1.464486946E+002  1.372139561E-001 
 1.310000000E-003  6.463772064E-003  2.246784744E+002  1.474825095E+002  3.456955381E-001 
 1.320000000E-003  6.732013825E-003  2.256315993E+002  1.485142283E+002  3.456955381E-001 
 1.330000000E-003  7.009277843E-003  2.265815175E+002  1.495438364E+002  3.456955381E-001 
 1.340000000E-003  7.295797572E-003  2.275282155E+002  1.505713191E+002  3.456955381E-001 
 1.350000000E-003  7.591810703E-003  2.284716798E+002  1.515966619E+002  3.456955381E-001 
 1.360000000E-003  7.897559209E-003  2.294118970E+002  1.526198502E+002  3.456955381E-001 
 1.370000000E-003  8.213289386E-003  2.303488538E+002  1.536408694E+002  3.456955381E-001 
 1.380000000E-003  8.539251897E-003  2.312825368E+002  1.546597050E+002  3.456955381E-001 
 1.390000000E-003  8.875701816E-003  2.322129328E+002  1.556763426E+002  3.456955381E-001 
 1.400000000E-003  9.222898671E-003  2.331400285E+002  1.566907677E+002  3.456955381E-001 
 1.410000000E-003  9.581106489E-003  2.340638108E+002  1.577029658E+002  3.456955381E-001 
 1.420000000E-003  9.950593835E-003  2.349842665E+002  1.587129226E+002  3.456955381E-001 
 1.430000000E-003  1.033163386E-002  2.359013825E+002  1.597206238E+002  3.456955381E-001 
 1.440000000E-003  1.072450435E-002  2.368151459E+002  1.607260550E+002  3.456955381E-001 
 1.450000000E-003  1.112948774E-002  2.377255436E+002  1.617292019E+002  3.456955381E-001 
 1.460000000E-003  1.154687121E-002  2.386325627E+002  1.627300503E+002  3.456955381E-001 
 1.470000000E-003  1.197694668E-002  2.395361904E+002  1.637285859E+002  3.456955381E-001 
 1.480000000E-003  1.242001087E-002  2.404364136E+002  1.647247946E+002  3.456955381E-001 
 1.490000000E-003  1.287636535E-002  2.413332198E+002  1.657186622E+002  3.456955381E-001 
 1.500000000E-003  1.334631659E-002  2.422265960E+002  1.667101745E+002  3.456955381E-001 
 1.510000000E-003  1.383017597E-002  2.431165297E+002  1.676993175E+002  3.456955381E-001 
 1.520000000E-003  1.432825986E-002  2.440030082E+002  1.686860772E+002  3.456955381E-001 
 1.530000000E-003  1.484088964E-002  2.448860188E+002  1.696704394E+002  3.456955381E-001 
 1.540000000E-003  1.536839177E-002  2.457655491E+002  1.706523903E+002  3.456955381E-001 
 1.550000000E-003  1.591109779E-002  2.466415864E+002  1.716319158E+002  3.456955381E-001 
 1.560000000E-003  1.646934441E-002  2.475141185E+002  1.726090020E+002  3.456955381E-001 
 1.570000000E-003  1.704347353E-002  2.483831329E+002  1.735836351E+002  7.305378870E-001 
 1.580000000E-003  1.763383227E-002  2.492486171E+002  1.745558012E+002  7.305378870E-001 
 1.590000000E-003  1.824077304E-002  2.501105590E+002  1.755254865E+002  7.305378870E-001 
 1.600000000E-003  1.886465357E-002  2.509689463E+002  1.764926771E+002  7.305378870E-001 
 1.610000000E-003  1.950583696E-002  2.518237667E+002  1.774573594E+002  7.305378870E-001 
 1.620000000E-003  2.016469171E-002  2.526750082E+002  1.784195196E+002  7.305378870E-001 
 1.630000000E-003  2.084159178E-002  2.535226586E+002  1.793791441E+002  7.305378870E-001 
 1.640000000E-003  2.153691662E-002  2.543667059E+002  1.803362192E+002  7.305378870E-001 
 1.650000000E-003  2.225105120E-002  2.552071381E+002  1.812907314E+002  7.305378870E-001 
 1.660000000E-003  2.298438611E-002  2.560439432E+002  1.822426670E+002  7.305378870E-001 
 1.670000000E-003  2.373731751E-002  2.568771093E+002  1.831920125E+002  7.305378870E-001 
 1.680000000E-003  2.451024728E-002  2.577066247E+002  1.841387545E+002  7.305378870E-001 
 1.690000000E-003  2.530358297E-002  2.585324775E+002  1.850828794E+002  7.305378870E-001 
 1.700000000E-003  2.611773789E-002  2.593546560E+002  1.860243739E+002  7.305378870E-001 
 1.710000000E-003  2.695313114E-002  2.601731484E+002  1.869632246E+002  7.305378870E-001 
 1.720000000E-003  2.781018767E-002  2.609879433E+002  1.878994182E+002  7.305378870E-001 
 1.730000000E-003  2.868933830E-002  2.617990289E+002  1.888329412E+002  7.305378870E-001 
 1.740000000E-003  2.959101976E-002  2.626063937E+002  1.897637805E+002  7.305378870E-001 
 1.750000000E-003  3.051567476E-002  2.634100264E+002  1.906919229E+002  7.305378870E-001 
 1.760000000E-003  3.146375199E-002  2.642099154E+002  1.916173551E+002  7.305378870E-001 
