   Time             V3N               V2N               V1N               V23               V12               V31             
 3.259000000E-002  0.000000000E+000  0.000000000E+000 -1.421085472E-014  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.260000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.261000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.262000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.263000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
 3.264000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -1.421085472E-014 
 3.265000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -7.105427358E-015 
 3.266000000E-002  1.421085472E-014  0.000000000E+000  7.105427358E-015 -1.421085472E-014  7.105427358E-015  7.105427358E-015 
 3.267000000E-002  7.105427358E-015  7.105427358E-015  7.105427358E-015  0.000000000E+000  0.000000000E+000  0.000000000E+000 
 3.268000000E-002  1.421085472E-014  0.000000000E+000 -7.105427358E-015 -1.421085472E-014 -7.105427358E-015  2.131628207E-014 
 3.269000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989334E+001  9.999989334E+001 -1.421085472E-014 
 3.270000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  2.131628207E-014  9.999989333E+001 
 3.271000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
 3.272000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.273000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.274000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.275000000E-002  0.000000000E+000  0.000000000E+000 -7.105427358E-015  0.000000000E+000 -7.105427358E-015  7.105427358E-015 
 3.276000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989334E+001  1.421085472E-014  9.999989334E+001 
 3.277000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
 3.278000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
 3.279000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.280000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001  0.000000000E+000 
 3.281000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001  7.105427358E-015 
 3.282000000E-002  1.421085472E-014  1.421085472E-014 -1.421085472E-014  0.000000000E+000 -2.842170943E-014  2.842170943E-014 
 3.283000000E-002  1.421085472E-014 -7.105427358E-015  7.105427358E-015 -2.131628207E-014  1.421085472E-014  7.105427358E-015 
 3.284000000E-002  7.105427358E-015 -7.105427358E-015  7.105427358E-015 -1.421085472E-014  1.421085472E-014  0.000000000E+000 
 3.285000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989334E+001  9.999989334E+001  7.105427358E-015 
 3.286000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001  7.105427358E-015 
 3.287000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  0.000000000E+000  9.999989333E+001 
 3.288000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.289000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.290000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.291000000E-002  7.105427358E-015  7.105427358E-015 -7.105427358E-015  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.292000000E-002  7.105427358E-015  7.105427358E-015 -7.105427358E-015  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.293000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989334E+001  1.421085472E-014  9.999989334E+001 
 3.294000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.295000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
 3.296000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
 3.297000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -7.105427358E-015 
 3.298000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -1.421085472E-014 
 3.299000000E-002  1.421085472E-014 -7.105427358E-015 -7.105427358E-015 -2.131628207E-014  0.000000000E+000  2.131628207E-014 
 3.300000000E-002  7.105427358E-015 -7.105427358E-015  0.000000000E+000 -1.421085472E-014  7.105427358E-015  7.105427358E-015 
 3.301000000E-002  0.000000000E+000  0.000000000E+000  0.000000000E+000  0.000000000E+000  0.000000000E+000  0.000000000E+000 
 3.302000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989334E+001  9.999989334E+001  0.000000000E+000 
 3.303000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -1.421085472E-014 
 3.304000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.305000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
 3.306000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
 3.307000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
 3.308000000E-002  0.000000000E+000  0.000000000E+000 -1.421085472E-014  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.309000000E-002  7.105427358E-015  7.105427358E-015 -7.105427358E-015  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.310000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989334E+001  1.421085472E-014  9.999989334E+001 
 3.311000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
 3.312000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
 3.313000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -2.131628207E-014 
 3.314000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -7.105427358E-015 
 3.315000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -7.105427358E-015 
 3.316000000E-002  7.105427358E-015  0.000000000E+000  0.000000000E+000 -7.105427358E-015  0.000000000E+000  7.105427358E-015 
 3.317000000E-002  7.105427358E-015 -7.105427358E-015  7.105427358E-015 -1.421085472E-014  1.421085472E-014  0.000000000E+000 
 3.318000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989334E+001  9.999989334E+001 -2.842170943E-014 
 3.319000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -1.421085472E-014 
 3.320000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -1.421085472E-014 
 3.321000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.322000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.323000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
 3.324000000E-002 -7.105427358E-015 -7.105427358E-015 -2.131628207E-014  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.325000000E-002  7.105427358E-015  7.105427358E-015 -7.105427358E-015  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.326000000E-002  0.000000000E+000  0.000000000E+000 -1.421085472E-014  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.327000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.328000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
 3.329000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
