   Time             Vo                Vq2               Vq1               Vo_             
 8.972000000E-002  3.504799686E-004  0.000000000E+000  0.000000000E+000 -2.634355205E+002 
 8.973000000E-002 -3.275017076E+002  0.000000000E+000  1.000000000E+000 -2.456935572E+002 
 8.974000000E-002 -3.275016756E+002  0.000000000E+000  1.000000000E+000 -2.275922216E+002 
 8.975000000E-002 -3.275016431E+002  0.000000000E+000  1.000000000E+000 -2.098189040E+002 
 8.976000000E-002 -3.275016107E+002  0.000000000E+000  1.000000000E+000 -1.929540236E+002 
 8.977000000E-002 -3.275015793E+002  0.000000000E+000  1.000000000E+000 -1.776633381E+002 
 8.978000000E-002 -3.275015500E+002  0.000000000E+000  1.000000000E+000 -1.645344442E+002 
 8.979000000E-002 -3.275015235E+002  0.000000000E+000  1.000000000E+000 -1.540576878E+002 
 8.980000000E-002 -3.275015007E+002  0.000000000E+000  1.000000000E+000 -1.466111662E+002 
 8.981000000E-002 -3.275014821E+002  0.000000000E+000  1.000000000E+000 -1.424502498E+002 
 8.982000000E-002 -3.275014680E+002  0.000000000E+000  1.000000000E+000 -1.417018734E+002 
 8.983000000E-002 -3.275014588E+002  0.000000000E+000  1.000000000E+000 -1.443636668E+002 
 8.984000000E-002 -3.275014546E+002  0.000000000E+000  1.000000000E+000 -1.503078171E+002 
 8.985000000E-002 -3.275014550E+002  0.000000000E+000  1.000000000E+000 -1.592893830E+002 
 8.986000000E-002 -3.275014600E+002  0.000000000E+000  1.000000000E+000 -1.709586314E+002 
 8.987000000E-002 -3.275014690E+002  0.000000000E+000  1.000000000E+000 -1.848768299E+002 
 8.988000000E-002 -3.275014815E+002  0.000000000E+000  1.000000000E+000 -2.005348203E+002 
 8.989000000E-002 -3.275014968E+002  0.000000000E+000  1.000000000E+000 -2.173736167E+002 
 8.990000000E-002 -3.275015141E+002  0.000000000E+000  1.000000000E+000 -2.348062199E+002 
 8.991000000E-002 -3.275015326E+002  0.000000000E+000  1.000000000E+000 -2.522398182E+002 
 8.992000000E-002 -3.275015515E+002  0.000000000E+000  1.000000000E+000 -2.690975570E+002 
 8.993000000E-002  4.924062193E-004  1.000000000E+000  1.000000000E+000 -2.853328152E+002 
 8.994000000E-002  4.545267287E-004  1.000000000E+000  1.000000000E+000 -2.989577042E+002 
 8.995000000E-002  4.185023250E-004  1.000000000E+000  1.000000000E+000 -3.107337000E+002 
 8.996000000E-002  3.855204104E-004  1.000000000E+000  1.000000000E+000 -3.197090472E+002 
 8.997000000E-002  3.563465819E-004  1.000000000E+000  1.000000000E+000 -3.254601696E+002 
 8.998000000E-002  3.315926263E-004  1.000000000E+000  1.000000000E+000 -3.276966974E+002 
 8.999000000E-002  3.116985697E-004  1.000000000E+000  1.000000000E+000 -3.262681038E+002 
 9.000000000E-002  2.969215015E-004  1.000000000E+000  1.000000000E+000 -3.211650605E+002 
 9.001000000E-002  2.873313840E-004  1.000000000E+000  1.000000000E+000 -3.125156172E+002 
 9.002000000E-002  2.828137954E-004  1.000000000E+000  1.000000000E+000 -3.005764917E+002 
 9.003000000E-002  2.830793083E-004  1.000000000E+000  1.000000000E+000 -2.857199322E+002 
 9.004000000E-002  2.876789682E-004  1.000000000E+000  1.000000000E+000 -2.684167558E+002 
 9.005000000E-002  2.960251318E-004  1.000000000E+000  1.000000000E+000 -2.492162923E+002 
 9.006000000E-002  3.074167524E-004  1.000000000E+000  1.000000000E+000 -2.287240532E+002 
 9.007000000E-002  3.210680619E-004  1.000000000E+000  1.000000000E+000 -2.075780039E+002 
 9.008000000E-002 -3.275017290E+002  0.000000000E+000  1.000000000E+000 -1.864068028E+002 
 9.009000000E-002 -3.275016901E+002  0.000000000E+000  1.000000000E+000 -1.663981581E+002 
 9.010000000E-002 -3.275016520E+002  0.000000000E+000  1.000000000E+000 -1.477060718E+002 
 9.011000000E-002 -3.275016158E+002  0.000000000E+000  1.000000000E+000 -1.312384953E+002 
 9.012000000E-002 -3.275015825E+002  0.000000000E+000  1.000000000E+000 -1.176281313E+002 
 9.013000000E-002 -3.275015531E+002  0.000000000E+000  1.000000000E+000 -1.073833887E+002 
 9.014000000E-002 -3.275015284E+002  0.000000000E+000  1.000000000E+000 -1.008735202E+002 
 9.015000000E-002 -3.275015088E+002  0.000000000E+000  1.000000000E+000 -9.831925335E+001 
 9.016000000E-002 -3.275014949E+002  0.000000000E+000  1.000000000E+000 -9.978909877E+001 
 9.017000000E-002 -3.275014867E+002  0.000000000E+000  1.000000000E+000 -1.052013046E+002 
 9.018000000E-002 -3.275014843E+002  0.000000000E+000  1.000000000E+000 -1.143312226E+002 
 9.019000000E-002 -3.275014873E+002  0.000000000E+000  1.000000000E+000 -1.268236606E+002 
 9.020000000E-002 -3.275014953E+002  0.000000000E+000  1.000000000E+000 -1.422096284E+002 
 9.021000000E-002 -3.275015077E+002  0.000000000E+000  1.000000000E+000 -1.599267390E+002 
 9.022000000E-002 -3.275015239E+002  0.000000000E+000  1.000000000E+000 -1.793424172E+002 
 9.023000000E-002 -3.275015428E+002  0.000000000E+000  1.000000000E+000 -1.997789900E+002 
 9.024000000E-002 -3.275015637E+002  0.000000000E+000  1.000000000E+000 -2.205396908E+002 
 9.025000000E-002  4.729541471E-004  0.000000000E+000  0.000000000E+000 -2.409263822E+002 
 9.026000000E-002  4.309521591E-004  0.000000000E+000  0.000000000E+000 -2.596725573E+002 
 9.027000000E-002  3.902385799E-004  0.000000000E+000  0.000000000E+000 -2.767960071E+002 
 9.028000000E-002  3.519709043E-004  0.000000000E+000  0.000000000E+000 -2.912944829E+002 
 9.029000000E-002  3.171598324E-004  0.000000000E+000  0.000000000E+000 -3.025564956E+002 
 9.030000000E-002  2.866672313E-004  0.000000000E+000  0.000000000E+000 -3.101092868E+002 
 9.031000000E-002  2.611789533E-004  0.000000000E+000  0.000000000E+000 -3.136319507E+002 
 9.032000000E-002  2.411848498E-004  0.000000000E+000  0.000000000E+000 -3.129626507E+002 
 9.033000000E-002  2.269665013E-004  0.000000000E+000  0.000000000E+000 -3.080998381E+002 
 9.034000000E-002  2.185928852E-004  0.000000000E+000  0.000000000E+000 -2.991976031E+002 
 9.035000000E-002  2.159239091E-004  0.000000000E+000  0.000000000E+000 -2.865554967E+002 
 9.036000000E-002  2.186214548E-004  0.000000000E+000  0.000000000E+000 -2.706033553E+002 
 9.037000000E-002  2.261673106E-004  0.000000000E+000  0.000000000E+000 -2.518818229E+002 
 9.038000000E-002  2.378871414E-004  0.000000000E+000  0.000000000E+000 -2.310194074E+002 
 9.039000000E-002  2.529794496E-004  0.000000000E+000  0.000000000E+000 -2.087070038E+002 
 9.040000000E-002  2.705483256E-004  0.000000000E+000  0.000000000E+000 -1.856708864E+002 
 9.041000000E-002  2.896386898E-004  0.000000000E+000  0.000000000E+000 -1.626451972E+002 
 9.042000000E-002  3.092726665E-004  0.000000000E+000  0.000000000E+000 -1.403449461E+002 
 9.043000000E-002 -3.275017401E+002  0.000000000E+000  1.000000000E+000 -1.191597311E+002 
 9.044000000E-002 -3.275016991E+002  0.000000000E+000  1.000000000E+000 -1.009753910E+002 
 9.045000000E-002 -3.275016603E+002  0.000000000E+000  1.000000000E+000 -8.504016677E+001 
 9.046000000E-002 -3.275016253E+002  0.000000000E+000  1.000000000E+000 -7.248493080E+001 
 9.047000000E-002 -3.275015950E+002  0.000000000E+000  1.000000000E+000 -6.378754240E+001 
 9.048000000E-002 -3.275015701E+002  0.000000000E+000  1.000000000E+000 -5.926921158E+001 
 9.049000000E-002 -3.275015510E+002  0.000000000E+000  1.000000000E+000 -5.908739529E+001 
 9.050000000E-002 -3.275015382E+002  0.000000000E+000  1.000000000E+000 -6.323485876E+001 
 9.051000000E-002 -3.275015316E+002  0.000000000E+000  1.000000000E+000 -7.154475709E+001 
 9.052000000E-002 -3.275015312E+002  0.000000000E+000  1.000000000E+000 -8.370137808E+001 
 9.053000000E-002 -3.275015364E+002  0.000000000E+000  1.000000000E+000 -9.925599095E+001 
 9.054000000E-002 -3.275015468E+002  0.000000000E+000  1.000000000E+000 -1.176470764E+002 
 9.055000000E-002 -3.275015617E+002  0.000000000E+000  1.000000000E+000 -1.382240748E+002 
 9.056000000E-002 -3.275015801E+002  0.000000000E+000  1.000000000E+000 -1.602736859E+002 
 9.057000000E-002  4.503378757E-004  1.000000000E+000  1.000000000E+000 -1.829747716E+002 
 9.058000000E-002  4.076488397E-004  1.000000000E+000  1.000000000E+000 -2.050128758E+002 
 9.059000000E-002  3.653061582E-004  1.000000000E+000  1.000000000E+000 -2.259946788E+002 
 9.060000000E-002  3.242570371E-004  1.000000000E+000  1.000000000E+000 -2.450064736E+002 
 9.061000000E-002  2.856891929E-004  1.000000000E+000  1.000000000E+000 -2.612752971E+002 
 9.062000000E-002  2.506710258E-004  1.000000000E+000  1.000000000E+000 -2.741531967E+002 
 9.063000000E-002  2.201160818E-004  1.000000000E+000  1.000000000E+000 -2.831371347E+002 
 9.064000000E-002  1.947541838E-004  1.000000000E+000  1.000000000E+000 -2.878830434E+002 
 9.065000000E-002  1.751100876E-004  1.000000000E+000  1.000000000E+000 -2.882136880E+002 
 9.066000000E-002  1.614902225E-004  1.000000000E+000  1.000000000E+000 -2.841202305E+002 
 9.067000000E-002  1.539777642E-004  1.000000000E+000  1.000000000E+000 -2.757576200E+002 
 9.068000000E-002  1.524359788E-004  1.000000000E+000  1.000000000E+000 -2.634341570E+002 
 9.069000000E-002  1.565194744E-004  1.000000000E+000  1.000000000E+000 -2.475957791E+002 
 9.070000000E-002  1.656927247E-004  1.000000000E+000  1.000000000E+000 -2.288057940E+002 
 9.071000000E-002  1.792549770E-004  1.000000000E+000  1.000000000E+000 -2.077209281E+002 
 9.072000000E-002  1.963704537E-004  1.000000000E+000  1.000000000E+000 -1.850646713E+002 
 9.073000000E-002  2.161025956E-004  1.000000000E+000  1.000000000E+000 -1.615989636E+002 
 9.074000000E-002  2.374509831E-004  1.000000000E+000  1.000000000E+000 -1.380953049E+002 
 9.075000000E-002  2.593895123E-004  1.000000000E+000  1.000000000E+000 -1.153063541E+002 
 9.076000000E-002  2.809044026E-004  1.000000000E+000  1.000000000E+000 -9.393903815E+001 
 9.077000000E-002  3.010306554E-004  1.000000000E+000  1.000000000E+000 -7.463010538E+001 
 9.078000000E-002  3.188856834E-004  1.000000000E+000  1.000000000E+000 -5.792494266E+001 
 9.079000000E-002 -3.275017195E+002  0.000000000E+000  1.000000000E+000 -4.537090718E+001 
 9.080000000E-002 -3.275016867E+002  0.000000000E+000  1.000000000E+000 -3.639278315E+001 
 9.081000000E-002 -3.275016577E+002  0.000000000E+000  1.000000000E+000 -3.041445970E+001 
 9.082000000E-002 -3.275016343E+002  0.000000000E+000  1.000000000E+000 -2.856028172E+001 
 9.083000000E-002 -3.275016167E+002  0.000000000E+000  1.000000000E+000 -3.091628932E+001 
 9.084000000E-002 -3.275016053E+002  0.000000000E+000  1.000000000E+000 -3.741001618E+001 
 9.085000000E-002 -3.275015999E+002  0.000000000E+000  1.000000000E+000 -4.781777585E+001 
 9.086000000E-002 -3.275016004E+002  0.000000000E+000  1.000000000E+000 -6.177723977E+001 
 9.087000000E-002 -3.275016062E+002  0.000000000E+000  1.000000000E+000 -7.880469572E+001 
 9.088000000E-002  4.485447528E-004  0.000000000E+000  0.000000000E+000 -9.817006578E+001 
 9.089000000E-002  4.120175539E-004  0.000000000E+000  0.000000000E+000 -1.198467632E+002 
 9.090000000E-002  3.738440414E-004  0.000000000E+000  0.000000000E+000 -1.419323989E+002 
 9.091000000E-002  3.343117270E-004  0.000000000E+000  0.000000000E+000 -1.639349336E+002 
 9.092000000E-002  2.946746579E-004  0.000000000E+000  0.000000000E+000 -1.849408258E+002 
 9.093000000E-002  2.561588657E-004  0.000000000E+000  0.000000000E+000 -2.041015956E+002 
 9.094000000E-002  2.199184651E-004  0.000000000E+000  0.000000000E+000 -2.206627749E+002 
 9.095000000E-002  1.869956428E-004  0.000000000E+000  0.000000000E+000 -2.339885971E+002 
 9.096000000E-002  1.582858817E-004  0.000000000E+000  0.000000000E+000 -2.435816531E+002 
 9.097000000E-002  1.345095343E-004  0.000000000E+000  0.000000000E+000 -2.490969415E+002 
 9.098000000E-002  1.161905952E-004  0.000000000E+000  0.000000000E+000 -2.503499668E+002 
 9.099000000E-002  1.036432380E-004  0.000000000E+000  0.000000000E+000 -2.473187610E+002 
 9.100000000E-002  9.696637905E-005  0.000000000E+000  0.000000000E+000 -2.401399329E+002 
 9.101000000E-002  9.604623685E-005  0.000000000E+000  0.000000000E+000 -2.290990599E+002 
 9.102000000E-002  1.005665587E-004  0.000000000E+000  0.000000000E+000 -2.146159386E+002 
 9.103000000E-002  1.100259232E-004  0.000000000E+000  0.000000000E+000 -1.972253771E+002 
 9.104000000E-002  1.237612809E-004  0.000000000E+000  0.000000000E+000 -1.775543596E+002 
 9.105000000E-002  1.409766983E-004  0.000000000E+000  0.000000000E+000 -1.562965180E+002 
 9.106000000E-002  1.607761064E-004  0.000000000E+000  0.000000000E+000 -1.341849185E+002 
 9.107000000E-002  1.821987457E-004  0.000000000E+000  0.000000000E+000 -1.119642023E+002 
 9.108000000E-002  2.042559418E-004  0.000000000E+000  0.000000000E+000 -9.036311274E+001 
 9.109000000E-002  2.259678303E-004  0.000000000E+000  0.000000000E+000 -7.006839784E+001 
 9.110000000E-002  2.463987004E-004  0.000000000E+000  0.000000000E+000 -5.170099856E+001 
 9.111000000E-002  2.646897074E-004  0.000000000E+000  0.000000000E+000 -3.579532248E+001 
 9.112000000E-002  2.800878416E-004  0.000000000E+000  0.000000000E+000 -2.278226844E+001 
 9.113000000E-002  2.919702065E-004  0.000000000E+000  0.000000000E+000 -1.297651099E+001 
 9.114000000E-002 -3.275017633E+002  0.000000000E+000  1.000000000E+000 -7.433810606E+000 
 9.115000000E-002 -3.275017382E+002  0.000000000E+000  1.000000000E+000 -5.570014367E+000 
 9.116000000E-002 -3.275017170E+002  0.000000000E+000  1.000000000E+000 -6.492691462E+000 
 9.117000000E-002 -3.275017011E+002  0.000000000E+000  1.000000000E+000 -1.111082690E+001 
 9.118000000E-002 -3.275016907E+002  0.000000000E+000  1.000000000E+000 -1.930943236E+001 
 9.119000000E-002 -3.275016857E+002  0.000000000E+000  1.000000000E+000 -3.084331253E+001 
 9.120000000E-002  3.705106735E-004  1.000000000E+000  1.000000000E+000 -4.597413532E+001 
 9.121000000E-002  3.438204366E-004  1.000000000E+000  1.000000000E+000 -6.305746320E+001 
 9.122000000E-002  3.149028055E-004  1.000000000E+000  1.000000000E+000 -8.114071550E+001 
 9.123000000E-002  2.836874888E-004  1.000000000E+000  1.000000000E+000 -1.000230929E+002 
 9.124000000E-002  2.512096842E-004  1.000000000E+000  1.000000000E+000 -1.189081518E+002 
 9.125000000E-002  2.185239134E-004  1.000000000E+000  1.000000000E+000 -1.370241604E+002 
 9.126000000E-002  1.866650132E-004  1.000000000E+000  1.000000000E+000 -1.536514355E+002 
 9.127000000E-002  1.566109756E-004  1.000000000E+000  1.000000000E+000 -1.681469944E+002 
 9.128000000E-002  1.292489336E-004  1.000000000E+000  1.000000000E+000 -1.799657014E+002 
 9.129000000E-002  1.053454424E-004  1.000000000E+000  1.000000000E+000 -1.886772403E+002 
 9.130000000E-002  8.552201100E-005  1.000000000E+000  1.000000000E+000 -1.939784177E+002 
 9.131000000E-002  7.023662253E-005  1.000000000E+000  1.000000000E+000 -1.957004827E+002 
 9.132000000E-002  5.977174410E-005  1.000000000E+000  1.000000000E+000 -1.938113426E+002 
 9.133000000E-002  5.422907320E-005  1.000000000E+000  1.000000000E+000 -1.884127408E+002 
 9.134000000E-002  5.353101633E-005  1.000000000E+000  1.000000000E+000 -1.797326461E+002 
 9.135000000E-002  5.742865193E-005  1.000000000E+000  1.000000000E+000 -1.681132688E+002 
 9.136000000E-002  6.551569941E-005  1.000000000E+000  1.000000000E+000 -1.539952666E+002 
 9.137000000E-002  7.724781235E-005  1.000000000E+000  1.000000000E+000 -1.378988261E+002 
 9.138000000E-002  9.196633708E-005  1.000000000E+000  1.000000000E+000 -1.204023977E+002 
 9.139000000E-002  1.089255466E-004  1.000000000E+000  1.000000000E+000 -1.021199274E+002 
 9.140000000E-002  1.273222539E-004  1.000000000E+000  1.000000000E+000 -8.367745644E+001 
 9.141000000E-002  1.463266604E-004  1.000000000E+000  1.000000000E+000 -6.568995941E+001 
 9.142000000E-002  1.651132791E-004  1.000000000E+000  1.000000000E+000 -4.873925709E+001 
 9.143000000E-002  1.828908076E-004  1.000000000E+000  1.000000000E+000 -3.335377620E+001 
 9.144000000E-002  1.989298899E-004  1.000000000E+000  1.000000000E+000 -1.999083951E+001 
 9.145000000E-002  2.125878221E-004  1.000000000E+000  1.000000000E+000 -9.022057676E+000 
 9.146000000E-002  2.233293879E-004  1.000000000E+000  1.000000000E+000 -7.222643210E-001 
 9.147000000E-002  2.307431805E-004  1.000000000E+000  1.000000000E+000  4.737705365E+000 
 9.148000000E-002  2.345529443E-004  1.000000000E+000  1.000000000E+000  7.294241195E+000 
 9.149000000E-002 -3.275018398E+002  0.000000000E+000  1.000000000E+000  7.443995235E+000 
 9.150000000E-002 -3.275018218E+002  0.000000000E+000  1.000000000E+000  3.656302926E+000 
 9.151000000E-002  2.669658875E-004  0.000000000E+000  0.000000000E+000 -1.828951996E+000 
 9.152000000E-002  2.544113111E-004  0.000000000E+000  0.000000000E+000 -1.082292560E+001 
 9.153000000E-002  2.393482290E-004  0.000000000E+000  0.000000000E+000 -2.131673331E+001 
 9.154000000E-002  2.213283339E-004  0.000000000E+000  0.000000000E+000 -3.346217063E+001 
 9.155000000E-002  2.009861665E-004  0.000000000E+000  0.000000000E+000 -4.671437201E+001 
 9.156000000E-002  1.790245565E-004  0.000000000E+000  0.000000000E+000 -6.050508360E+001 
 9.157000000E-002  1.561870192E-004  0.000000000E+000  0.000000000E+000 -7.426400111E+001 
 9.158000000E-002  1.332294728E-004  0.000000000E+000  0.000000000E+000 -8.743956447E+001 
 9.159000000E-002  1.108923254E-004  0.000000000E+000  0.000000000E+000 -9.951846812E+001 
 9.160000000E-002  8.987393463E-005  0.000000000E+000  0.000000000E+000 -1.100432141E+002 
 9.161000000E-002  7.080636904E-005  0.000000000E+000  0.000000000E+000 -1.186271259E+002 
 9.162000000E-002  5.423428427E-005  0.000000000E+000  0.000000000E+000 -1.249663494E+002 
 9.163000000E-002  4.059759499E-005  0.000000000E+000  0.000000000E+000 -1.288484929E+002 
