   Time             Vo                Vo_             
 1.430000000E-003 -3.266161338E+002 -1.192592294E+002 
 1.440000000E-003 -3.266022423E+002 -1.201269233E+002 
 1.450000000E-003 -3.265877423E+002 -1.213684302E+002 
 1.460000000E-003 -3.265726374E+002 -1.229522925E+002 
 1.470000000E-003 -3.265569323E+002 -1.248487428E+002 
 1.480000000E-003 -3.265406326E+002 -1.270296367E+002 
 1.490000000E-003  3.284761063E+002 -1.293307062E+002 
 1.500000000E-003  3.284915271E+002 -1.305155262E+002 
 1.510000000E-003  3.285059324E+002 -1.309019261E+002 
 1.520000000E-003 -3.264806453E+002 -1.305505853E+002 
 1.530000000E-003 -3.264665683E+002 -1.306825709E+002 
 1.540000000E-003 -3.264520587E+002 -1.311182039E+002 
 1.550000000E-003 -3.264369733E+002 -1.319371355E+002 
 1.560000000E-003 -3.264213147E+002 -1.331080786E+002 
 1.570000000E-003 -3.264050862E+002 -1.346014024E+002 
 1.580000000E-003 -3.263882924E+002 -1.363890676E+002 
 1.590000000E-003 -3.263709386E+002 -1.384445645E+002 
 1.600000000E-003  3.286471066E+002 -1.408421072E+002 
 1.610000000E-003  3.286638998E+002 -1.421320266E+002 
 1.620000000E-003  3.286796514E+002 -1.425986965E+002 
 1.630000000E-003 -3.263056584E+002 -1.422639823E+002 
 1.640000000E-003 -3.262903527E+002 -1.423837294E+002 
 1.650000000E-003 -3.262746406E+002 -1.427889468E+002 
 1.660000000E-003 -3.262583877E+002 -1.435545209E+002 
 1.670000000E-003 -3.262415963E+002 -1.446510419E+002 
 1.680000000E-003 -3.262242696E+002 -1.460506570E+002 
 1.690000000E-003 -3.262064119E+002 -1.477270094E+002 
 1.700000000E-003 -3.261880281E+002 -1.496551798E+002 
 1.710000000E-003 -3.261691239E+002 -1.518116287E+002 
 1.720000000E-003  3.288490215E+002 -1.532301659E+002 
 1.730000000E-003  3.288657367E+002 -1.535290219E+002 
 1.740000000E-003 -3.261183325E+002 -1.532493652E+002 
 1.750000000E-003 -3.261018258E+002 -1.533921902E+002 
